id,name,url,ownerId,ownerLogin,primaryLanguageId,primaryLanguageName,createdAt,stargazerCount,totalPullRequestsMerged
MDEwOlJlcG9zaXRvcnkxMTI1MDcwODY=,30-seconds-of-code,https://github.com/30-seconds/30-seconds-of-code,MDEyOk9yZ2FuaXphdGlvbjQzNDc5NDI4,30-seconds,,,2017-11-29T17:35:03Z,103504,753
MDEwOlJlcG9zaXRvcnk5NDMxNDk=,d3,https://github.com/d3/d3,MDEyOk9yZ2FuaXphdGlvbjE1NjI3MjY=,d3,,,2010-09-27T17:22:42Z,103022,439
MDEwOlJlcG9zaXRvcnk2MzUzNzI0OQ==,create-react-app,https://github.com/facebook/create-react-app,MDEyOk9yZ2FuaXphdGlvbjY5NjMx,facebook,,,2016-07-17T14:55:11Z,97296,1942
MDEwOlJlcG9zaXRvcnkyMzA4ODc0MA==,axios,https://github.com/axios/axios,MDEyOk9yZ2FuaXphdGlvbjMyMzcyMzMz,axios,,,2014-08-18T22:30:27Z,96369,611
MDEwOlJlcG9zaXRvcnkxNDA5ODA2OQ==,free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,MDQ6VXNlcjM1OTM5NQ==,justjavac,,,2013-11-04T01:59:19Z,95985,280
MDEwOlJlcG9zaXRvcnk3MDEwNzc4Ng==,next.js,https://github.com/vercel/next.js,MDEyOk9yZ2FuaXphdGlvbjE0OTg1MDIw,vercel,,,2016-10-05T23:32:51Z,93592,10148
MDEwOlJlcG9zaXRvcnkyMDU4MDQ5OA==,kubernetes,https://github.com/kubernetes/kubernetes,MDEyOk9yZ2FuaXphdGlvbjEzNjI5NDA4,kubernetes,,,2014-06-06T22:56:04Z,92675,52706
MDEwOlJlcG9zaXRvcnkyNzE5Mzc3OQ==,node,https://github.com/nodejs/node,MDEyOk9yZ2FuaXphdGlvbjk5NTAzMTM=,nodejs,,,2014-11-26T19:57:11Z,90798,4923
MDEwOlJlcG9zaXRvcnkyMTU0MDc1OQ==,awesome-go,https://github.com/avelino/awesome-go,MDQ6VXNlcjMxOTk2,avelino,,,2014-07-06T13:42:15Z,89155,2827
MDEwOlJlcG9zaXRvcnk1NzYyMDE=,three.js,https://github.com/mrdoob/three.js,MDQ6VXNlcjk3MDg4,mrdoob,,,2010-03-23T18:58:01Z,85893,10042
MDEwOlJlcG9zaXRvcnkxMzM0NDIzODQ=,deno,https://github.com/denoland/deno,MDEyOk9yZ2FuaXphdGlvbjQyMDQ4OTE1,denoland,,,2018-05-15T01:34:26Z,85713,7043
MDEwOlJlcG9zaXRvcnkxMDAwNjA5MTI=,terminal,https://github.com/microsoft/terminal,MDEyOk9yZ2FuaXphdGlvbjYxNTQ3MjI=,microsoft,,,2017-08-11T18:38:22Z,85539,2897
MDEwOlJlcG9zaXRvcnkyMDkyOTAyNQ==,TypeScript,https://github.com/microsoft/TypeScript,MDEyOk9yZ2FuaXphdGlvbjYxNTQ3MjI=,microsoft,,,2014-06-17T15:28:39Z,84827,12232
MDEwOlJlcG9zaXRvcnkyNDE5NTMzOQ==,angular,https://github.com/angular/angular,MDEyOk9yZ2FuaXphdGlvbjEzOTQyNg==,angular,,,2014-09-18T16:12:01Z,84194,3228
MDEwOlJlcG9zaXRvcnkzNDUyNjg4NA==,ant-design,https://github.com/ant-design/ant-design,MDEyOk9yZ2FuaXphdGlvbjEyMTAxNTM2,ant-design,,,2015-04-24T15:37:24Z,82151,9363
MDEwOlJlcG9zaXRvcnkxMDM2MzM5ODQ=,nodebestpractices,https://github.com/goldbergyoni/nodebestpractices,MDQ6VXNlcjg1NzE1MDA=,goldbergyoni,,,2017-09-15T08:33:19Z,81977,737
MDEwOlJlcG9zaXRvcnkyMzA4MzE1Ng==,material-ui,https://github.com/mui/material-ui,MDEyOk9yZ2FuaXphdGlvbjMzNjYzOTMy,mui,,,2014-08-18T19:11:54Z,81834,14235
MDEwOlJlcG9zaXRvcnk5MDc5NjY2Mw==,puppeteer,https://github.com/puppeteer/puppeteer,MDEyOk9yZ2FuaXphdGlvbjY5MDY1MTY=,puppeteer,,,2017-05-09T22:16:13Z,80230,2714
MDEwOlJlcG9zaXRvcnkxMzgzOTMxMzk=,the-book-of-secret-knowledge,https://github.com/trimstray/the-book-of-secret-knowledge,MDQ6VXNlcjMxMTI3OTE3,trimstray,,,2018-06-23T10:43:14Z,79954,122
MDEwOlJlcG9zaXRvcnkxODQ0NTYyNTE=,PowerToys,https://github.com/microsoft/PowerToys,MDEyOk9yZ2FuaXphdGlvbjYxNTQ3MjI=,microsoft,,,2019-05-01T17:44:02Z,79713,3462
MDEwOlJlcG9zaXRvcnk2MjYwNzIyNw==,tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook,MDQ6VXNlcjEzMTUxMDE=,yangshun,,,2016-07-05T05:00:48Z,79502,202
MDEwOlJlcG9zaXRvcnk4ODAxMTkwOA==,project-based-learning,https://github.com/practical-tutorials/project-based-learning,MDEyOk9yZ2FuaXphdGlvbjg5NDIxMTU0,practical-tutorials,,,2017-04-12T05:07:46Z,78813,179
MDEwOlJlcG9zaXRvcnk4ODQ2NDcwNA==,vue-element-admin,https://github.com/PanJiaChen/vue-element-admin,MDQ6VXNlcjgxMjE2MjE=,PanJiaChen,,,2017-04-17T03:35:49Z,78774,313
MDEwOlJlcG9zaXRvcnkyMjc5MDQ4OA==,java-design-patterns,https://github.com/iluwatar/java-design-patterns,MDQ6VXNlcjU4MjM0Ng==,iluwatar,,,2014-08-09T16:45:18Z,77244,876
MDEwOlJlcG9zaXRvcnkyNTYxNTgy,animate.css,https://github.com/animate-css/animate.css,MDEyOk9yZ2FuaXphdGlvbjY0NzkxOTM5,animate-css,,,2011-10-12T10:07:38Z,75949,313
MDEwOlJlcG9zaXRvcnk1MTExNzgzNw==,models,https://github.com/tensorflow/models,MDEyOk9yZ2FuaXphdGlvbjE1NjU4NjM4,tensorflow,,,2016-02-05T01:15:20Z,74512,2252
MDEwOlJlcG9zaXRvcnk1NDE3MzU5Mw==,storybook,https://github.com/storybookjs/storybook,MDEyOk9yZ2FuaXphdGlvbjIyNjMyMDQ2,storybookjs,,,2016-03-18T04:23:44Z,74341,6978
MDEwOlJlcG9zaXRvcnkzMzYxNDMwNA==,thefuck,https://github.com/nvbn/thefuck,MDQ6VXNlcjExMTQ1NDI=,nvbn,,,2015-04-08T15:08:04Z,73913,478
